,id,date,rawContent,cleaned_content,english_relative_frequency
1,3017,2022-04-16 22:36:19+00:00,"With friends ❤✌ @ 2 No Gate,chittagong https://t.co/jdlqEbV6nb",with friends 2 no gatechittagong,0.75
13,6144,2022-07-23 02:50:40+00:00,🥀🤍 @ Shah Amanat International Airport https://t.co/I0zZjE2gwH,shah amanat international airport,0.75
25,6819,2022-08-09 11:46:08+00:00,Check out shantunu786 palit's video! #TikTok https://t.co/pKGGeXx8ng,check out shantunu786 palits video,0.75
10,260,2022-01-08 17:41:46+00:00,"Makeup Shakeup Winter Expo 2022 

এর সমাপনী দিনে প্রিয় মুখ গুলো এক হয়ে যায় @ Raddison Blu Chittagong Bay View https://t.co/1B76PpSKen",makeup shakeup winter expo 2022 raddison blu chittagong bay view,0.7777777777777778
17,1810,2022-03-08 14:59:39+00:00,Wedding ceremony of Sumi https://t.co/pdJmKDsWJv,wedding ceremony of sumi,0.75
5,3349,2022-04-29 16:17:44+00:00,Best Of Luck AFM.... https://t.co/Ss8PoeyHbb,best of luck afm,0.75
7,5416,2022-06-29 14:30:01+00:00,"Beautiful ☀ View. ☀️🌞❤️🌈
Morning 7.00am At Kalurghat Bridge, Chittagong. @ Kalurghat Bridge https://t.co/swS0raPEvR",beautiful view morning 7 00am at kalurghat bridge chittagong kalurghat bridge,0.7777777777777778
13,7618,2022-08-27 13:50:04+00:00,Just posted a photo @ Fulkoli Food Products Ltd https://t.co/XLDptJt8Jo,just posted a photo fulkoli food products ltd,0.75
19,3755,2022-05-11 10:30:48+00:00,"Just posted a photo @ Potenga Sea Beach, Chattogram https://t.co/vUazcc75yb",just posted a photo potenga sea beach chattogram,0.75
1,5370,2022-06-28 17:15:29+00:00,"Just posted a photo @ Himchori, Inani, Teknaf _ Marine Drive Road https://t.co/p5FD0OkAM2",just posted a photo himchori inani teknaf marine drive road,0.7
9,6337,2022-07-30 18:36:08+00:00,#entertainment in outside @ Agrabad.chittagong https://t.co/H5d4tk3coW,in outside agrabad chittagong,0.75
8,4043,2022-05-20 17:17:40+00:00,KFC for dedicated my nephew md hridoy https://t.co/WNoz1PC7Zk,kfc for dedicated my nephew md hridoy,0.7142857142857143
0,967,2022-02-07 22:44:32+00:00,মানচিত্র..... @ Alfalah Goli Housing Society আলফালাহ গলি হাউজিং সোসাইটি https://t.co/h5Fej4d30G,alfalah goli housing society,0.75
61,6855,2022-08-09 05:12:38+00:00,Last year 😴😌 @ Finlay Square https://t.co/xGN3St7ImF,last year finlay square,0.75
22,5061,2022-06-20 07:18:20+00:00,"@JohnCena Father cenaa...uncle...cenaa..papa cenaa..., we the world prefer this 👉🇨🇳🇹🇷🇵🇰, not that 👉🇺🇲💩🇬🇧💩🇮🇳🐖, 👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/P9ewozXgv9",father cenaa uncle cenaa papa cenaa we the world prefer this not that,0.7692307692307693
18,2556,2022-03-30 06:32:46+00:00,"Just posted a photo @ Parki Sea Beach, Anowara https://t.co/ARCriBwwSl",just posted a photo parki sea beach anowara,0.75
