,id,date,rawContent,cleaned_content,english_relative_frequency
11,13712,2022-05-18 23:42:20+00:00,@pushpathak Very good Mprning ji🌹🙏,very good mprning ji,0.75
39,22140,2022-08-10 23:48:30+00:00,@PranaliiRathod @ErikSolheim @ourtemples_ @tourismgoi @MinOfCultureGoI Jai shree Krishna subh prabhat comment please,jai shree krishna subh prabhat comment please,0.7142857142857143
42,843,2022-01-09 23:20:09+00:00,"Shocked and saddened by the sudden demise of Shri #RameshBabu Garu. 
Condolences and strength to Krishna Garu, @urstrulyMahesh garu and entire Ghattamaneni family.
#RIPRameshBabu 🙏     #RIPRameshBabu https://t.co/RJruxJLwlO",shocked and saddened by the sudden demise of shri garu condolences and strength to krishna garu garu and entire ghattamaneni family,0.7142857142857143
44,11145,2022-04-22 23:08:34+00:00,"#ParkashPurab
In front of Aurangzeb’s tyrannical thinking, Guru Tegh Bahadur Ji stood as ‘Hind di Chadar’, like a rock, said PM Modi
https://t.co/U221Dn7rON
via NaMo App",in front of aurangzebs tyrannical thinking guru tegh bahadur ji stood as hind di chadar like a rock said pm modi via namo app,0.7916666666666666
39,11340,2022-04-24 23:33:20+00:00,@433 I love Neymar Jr 😊,i love neymar jr,0.75
45,20146,2022-07-21 23:12:58+00:00,"सभी साथियों को एवं सभी देशवासियों को भीम आर्मी भारत एकता मिशन के सातवें स्थापना दिवस की हार्दिक मंगलकामनाएं 💐💐🇮🇳🇮🇳
@BhimArmyChief @VinayRatanSingh @GulzarSiddiqui_ @shiv__ASP @ChotuSurya https://t.co/X6CmaCqIc2
Justice for Rajasthan CHA https://t.co/frEwEGBSci",justice for rajasthan cha,0.75
84,23685,2022-08-25 22:23:54+00:00,@yamigautam @AdityaDharFilms Jai jawala mata di.,jai jawala mata di,0.75
2,11203,2022-04-23 23:58:30+00:00,@kausar_nargis Ameen summa Ameen Ya Rab ul Alameen,ameen summa ameen ya rab ul alameen,0.7142857142857143
51,9452,2022-04-05 23:24:45+00:00,@khushbookhan_ What about Jawed Nihari?😀,what about jawed nihari,0.75
89,24290,2022-08-31 22:30:15+00:00,"@Shoaib_Jatt Hong Kong aap logo ko hara na de,
Careful rahiyega",hong kong aap logo ko hara na de careful rahiyega,0.7
