,id,date,rawContent,cleaned_content,english_relative_frequency
4,497,2022-01-18 13:39:53+00:00,"Navy camp, Kaptai-Chittagong https://t.co/aMNbzXrQbc",navy camp kaptai chittagong,0.75
14,5123,2022-06-22 19:03:18+00:00,"Bangladesh Awami League achieves gold in its 73 year journey.
 @albd1971 https://t.co/nDSSfZyGog",bangladesh awami league achieves gold in its 73 year journey,0.7777777777777778
2,823,2022-02-01 21:53:40+00:00,Once upon a time at ZOUK 🍽🍹 @ Dampara https://t.co/n0oqhHalLG,once upon a time at zouk dampara,0.7142857142857143
11,6743,2022-08-08 17:06:24+00:00,@nayeema45 goodnight  have a nicedream,goodnight have a nicedream,0.75
17,661,2022-01-25 11:23:50+00:00,@noushabitons Han hyo joo will also be there!,han hyo joo will also be there,0.7142857142857143
15,539,2022-01-20 03:05:40+00:00,My language bangila okay https://t.co/rWTmpJIj28,my language bangila okay,0.75
21,3542,2022-05-04 16:53:58+00:00,"ঈদ মোবারক @ নাসিরাবাদ হাউজিং সোসাইটি Nasirabad Housing Society, Chittagong https://t.co/7gnPQxLsmf",nasirabad housing society chittagong,0.75
32,1975,2022-03-12 00:31:33+00:00,"মাশাল্লাহ জীবনটা কত সুন্দর শুধুমাত্র সুখেই আছি এইটা ভাবতে পারলে

সৃষ্টিকর্তা মহান আল্লাহ সবার মঙ্গল করুক

সবাইকে জুম্মা মোবারক @ Nasirabad Housing Society, Chittagong https://t.co/nIJq6nShq7",nasirabad housing society chittagong,0.75
15,3536,2022-05-04 17:02:25+00:00,"ঈদ মোবারক @ নাসিরাবাদ হাউজিং সোসাইটি Nasirabad Housing Society, Chittagong https://t.co/UUVz8WOxIv",nasirabad housing society chittagong,0.75
30,200,2022-01-05 03:40:29+00:00,"Ravencoin is Coin of the Day on LunarCrush!

Galaxy Score™ 65/100
AltRank™ 5/3442
Price $0.13  +13.01%  

View real-time Ravencoin metrics at https://t.co/ptNKnrg0aB https://t.co/ptNKnrg0aB",ravencoin is coin of the day on lunarcrush galaxy score 65100 altrank 53442 price 0 13 13 01 view real time ravencoin metrics at,0.7777777777777778
2,7640,2022-08-28 19:09:04+00:00,Shaw Wallace Tea Tvc https://t.co/utZmL5d69k,shaw wallace tea tvc,0.75
16,4051,2022-05-20 13:49:32+00:00,"-I am not bilive in this line 🙂
-শেষটা যদি সুন্দর হয়, অপেক্ষা করাটা মন্দ নয়। @ Cox Bazzer https://t.co/NPuPCaUpiU",i am not bilive in this line cox bazzer,0.7777777777777778
27,247,2022-01-07 03:27:01+00:00,14th Position @ Chattogram City Half Marathon 2022 @ Patenga Sea Beach https://t.co/jaHBjnzUdG,14th position chattogram city half marathon 2022 patenga sea beach,0.75
2,3087,2022-04-19 18:56:57+00:00,"""Do not feel lonely, 
The entire universe is inside you.""

—Moulana Jalaluddin Rumi (RA) 

#Rumi 
#rumiquotes 
#rumilove 
#quotes 
 #رومی https://t.co/gZzgZMX1Zo",do not feel lonely the entire universe is inside you moulana jalaluddin rumi ra,0.7857142857142857
9,3353,2022-04-29 14:33:22+00:00,It's an beautiful Place In The Bongopusagar  Ocean @ সন্দ্বীপ-Sandwip https://t.co/08XqNGZogt,its an beautiful place in the bongopusagar ocean sandwip,0.7777777777777778
27,3669,2022-05-08 07:55:23+00:00,"What is mine is only mine🥀✨ @ Neval Beach,chattogram https://t.co/FSM21B7Iv3",what is mine is only mine neval beachchattogram,0.75
3,5323,2022-06-27 18:21:50+00:00,My New car with my Friend Azizul Karim https://t.co/BUVuOr3uG0,my new car with my friend azizul karim,0.75
12,419,2022-01-14 08:58:45+00:00,-•-♥️Holly Jummah Mubarak♥️-•- @ Shadhinata Complex-Mini Bangladesh https://t.co/lUBGfrriZG,holly jummah mubarak shadhinata complex mini bangladesh,0.7142857142857143
7,5474,2022-07-01 15:42:46+00:00,"#SoyaLand_Lakshmipur
My Homeland dear Lakshmipur

Photo collected from District Branding Handbook.
District Administration, Lakshmipur @ Lakshmipur - লক্ষ্মীপুর https://t.co/dRckUnevxm",my homeland dear lakshmipur photo collected from district branding handbook district administration lakshmipur lakshmipur,0.7857142857142857
78,6636,2022-08-05 04:30:57+00:00,@OntoraJahan Keno gean harabe babu,keno gean harabe babu,0.75
12,505,2022-01-18 01:22:23+00:00,Lewandowski wins FIFA Men's Best Player of the Year! https://t.co/kbGAhCu4ya,lewandowski wins fifa mens best player of the year,0.7777777777777778
23,6325,2022-07-29 05:59:54+00:00,"If I could be a pilot, I could fly this plane in the sky  🥰🥰🥰
#baf #shaheen #bafsc #ctg @ BAF Base ZHR, Patenga, CTG https://t.co/EY9cCWUhwL",if i could be a pilot i could fly this plane in the sky baf base zhr patenga ctg,0.7894736842105263
13,3975,2022-05-18 12:48:48+00:00,"Dua for the children's protection!
#duaoftheday 
#allah 
#prophetmuhammadﷺ @ Chittagong City - চট্টগ্রাম শহর https://t.co/J0AWB8Bd62",dua for the childrens protection chittagong city,0.7142857142857143
