,id_column,annotate_text,label,annotated_at
0,12013,<b>Raw:</b> Ang hirap mag budget nang monthly allowance kesa sa weekly allowance. Haha<br><b>Clean</b>: ang hirap mag budget nang monthly allowance kesa sa weekly allowance haha,code-switched,2022-12-08 11:02:52
1,15547,<b>Raw:</b> Pallelai bedokwalk no49.misslohahhuat.misskitty stubborn heart u are big trouble have fallen into to trap of cunning or harsh have cristised put otherss down these conversation reveal your soul.misslohahhuat always talk unmeaningful things<br><b>Clean</b>: pallelai bedokwalk no49 misslohahhuat misskitty stubborn heart u are big trouble have fallen into to trap of cunning or harsh have cristised put otherss down these conversation reveal your soul misslohahhuat always talk unmeaningful things,,2022-12-08 11:02:56
2,20772,<b>Raw:</b> @pulte GohLeePing Malaysia waiting $100.enought Thanks Malaysia HongLeong bank account 09950124745 Thanks<br><b>Clean</b>: gohleeping malaysia waiting 100 enought thanks malaysia hongleong bank account 09950124745 thanks,non_standard_english,2022-12-08 11:03:52
3,11806,<b>Raw:</b> @gtfoemo Hihi selamat beraya too! Say hi to your parents for me😍<br><b>Clean</b>: hihi selamat beraya too say hi to your parents for me,code-switched,2022-12-08 11:03:56
4,3471,<b>Raw:</b> Bercakap itu adalah satu doa. This places i wish to go. I never stop asking for it. Let divine provisions and time determine everything. InshaAllah. Amin amin ya rabbal al’aminn<br><b>Clean</b>: bercakap itu adalah satu doa this places i wish to go i never stop asking for it let divine provisions and time determine everything inshaallah amin amin ya rabbal alaminn,code-switched,2022-12-08 11:12:35
5,14045,<b>Raw:</b> @dawende Kasi po sir doon si Mr robin naniniwala sa mga troll army nila nagpapalaganap ng Fake news.<br><b>Clean</b>: kasi po sir doon si mr robin naniniwala sa mga troll army nila nagpapalaganap ng fake news,some_english,2022-12-08 11:12:43
6,1313,<b>Raw:</b> Thank you lord sa lahat lahat ng blessings mo po samin.. Good health lang po para sa hga mahal ko sa buhay..ilayo mo po sila sa kpahamakan..amen. https://t.co/NUZ21xg9ik<br><b>Clean</b>: thank you lord sa lahat lahat ng blessings mo po samin good health lang po para sa hga mahal ko sa buhay ilayo mo po sila sa kpahamakan amen,some_english,2022-12-08 11:12:50
7,3452,<b>Raw:</b> Ipunan ko pa ang ink ko pra ma fullsleeve nagid ning Arm ko. How about July? Schedule ko na mapadla savings ahoooy<br><b>Clean</b>: ipunan ko pa ang ink ko pra ma fullsleeve nagid ning arm ko how about july schedule ko na mapadla savings ahoooy,code-switched,2022-12-08 11:12:57
8,7443,"<b>Raw:</b> Thank you, @hidayatttnordin for this! Can’t wait to watch Hidayat’s rendition of … Dan Tiga Dara Terbang Ke Bulan! Happening tonight at C42. ❤️ #mawesome #kakalinkaumemanggitu #dtdtkb @tunjukarah_iyakkunar 🥰 https://t.co/En3GuVd9rt<br><b>Clean</b>: thank you for this cant wait to watch hidayats rendition of dan tiga dara terbang ke bulan happening tonight at c42",non_standard_english,2022-12-08 11:13:15
9,19454,<b>Raw:</b> Kwarta lang man gali problema.. Hahah mole removal pa gani. Daw nag limpyo man ang guya ko hahaha<br><b>Clean</b>: kwarta lang man gali problema hahah mole removal pa gani daw nag limpyo man ang guya ko hahaha,some_english,2022-12-08 11:13:23
